year,state_abbr,state_name,state_fips,region,division,total_pop_15to64,female_pop_15to64,male_pop_15to64,total_jail_pop,female_jail_pop,male_jail_pop,total_prison_pop,female_prison_pop,male_prison_pop
2024,NY,New York,36,Northeast,Middle Atlantic,12820276,6438037,6382239,NA,NA,NA,32918,NA,NA
2023,NY,New York,36,Northeast,Middle Atlantic,12820276,6438037,6382239,16209,1544.094407,14432.39759,32287,NA,NA
2022,NY,New York,36,Northeast,Middle Atlantic,12820276,6438037,6382239,15354,1390.306633,14041.64674,31148,1188,29960
2021,NY,New York,36,Northeast,Middle Atlantic,13011064,6532058,6479006,15573,1265.075696,14272.58914,30338,1105,29233
2020,NY,New York,36,Northeast,Middle Atlantic,13255107,6657687,6597420,11422,896.2043312,10561.68039,34128,1291,32837
2019,NY,New York,36,Northeast,Middle Atlantic,13388715,6732022,6656693,20806,2056,18740,43500,1928,41572
2018,NY,New York,36,Northeast,Middle Atlantic,13451681,6771614,6680067,22616,2463.4,20290.6,46636,2092,44544
2017,NY,New York,36,Northeast,Middle Atlantic,13489535,6799386,6690149,25019.50762,2720.863333,21970.97,49461,2277,47184
2016,NY,New York,36,Northeast,Middle Atlantic,13519634,6823474,6696160,25691.91524,2480.776667,21847.89,50716,2274,48442
2015,NY,New York,36,Northeast,Middle Atlantic,13527856,6839238,6688618,25741.62286,2495.11,22331.39,51727,2354,49373
2014,NY,New York,36,Northeast,Middle Atlantic,13515107,6843443,6671664,28006.99714,2869.15,24536.85,52518,2326,50192
2013,NY,New York,36,Northeast,Middle Atlantic,13485467,6837398,6648069,28465.87143,2801.28,25642.22,53550,2357,51193
2012,NY,New York,36,Northeast,Middle Atlantic,13435478,6821715,6613763,29632.58071,2727.7,26027.635,54210,2247,51963
2011,NY,New York,36,Northeast,Middle Atlantic,13382046,6806434,6575612,29865.29,2748.14,26519.53,55436,2312,53124
2010,NY,New York,36,Northeast,Middle Atlantic,13256726,6752059,6504667,30199,2714.86,27270.64,56656,2218,54438
2009,NY,New York,36,Northeast,Middle Atlantic,13173380,6713302,6460078,29985,2744.5,27184.5,58687,2489,56198
