year,state_abbr,state_name,state_fips,region,division,total_pop_15to64,female_pop_15to64,male_pop_15to64,total_prison_pop,female_prison_pop,male_prison_pop
2024,AK,Alaska,2,West,Pacific,484376,224281,260095,4444,,
2023,AK,Alaska,2,West,Pacific,484376,224281,260095,4487,,
2022,AK,Alaska,2,West,Pacific,484376,224281,260095,1505,75,1430
2021,AK,Alaska,2,West,Pacific,486916,225591,261325,1563,85,1478
2020,AK,Alaska,2,West,Pacific,488623,226819,261804,1794,99,1695
2019,AK,Alaska,2,West,Pacific,493016,229285,263731,1782,82,1700
2018,AK,Alaska,2,West,Pacific,497876,231938,265938,1939,87,1852
2017,AK,Alaska,2,West,Pacific,504320,235002,269318,1905,77,1828
2016,AK,Alaska,2,West,Pacific,509054,237107,271947,2089,107,1982
2015,AK,Alaska,2,West,Pacific,509561,237503,272058,2261,175,2086
2014,AK,Alaska,2,West,Pacific,511361,238826,272535,2075,154,1921
2013,AK,Alaska,2,West,Pacific,514236,240845,273391,2682,256,2426
2012,AK,Alaska,2,West,Pacific,511293,240956,270337,2974,284,2690
2011,AK,Alaska,2,West,Pacific,506977,239948,267029,2894,278,2616
2010,AK,Alaska,2,West,Pacific,502071,237799,264272,2775,266,2509
2009,AK,Alaska,2,West,Pacific,491977,235316,256661,2508,192,2316
2008,AK,Alaska,2,West,Pacific,486999,230755,256244,2966,262,2704
2007,AK,Alaska,2,West,Pacific,482770,229775,252995,3072,272,2800
2006,AK,Alaska,2,West,Pacific,478954,228243,250711,3116,242,2874
2005,AK,Alaska,2,West,Pacific,471987,224565,247422,2781,184,2597
2004,AK,Alaska,2,West,Pacific,464433,221252,243181,2632,174,2458
2003,AK,Alaska,2,West,Pacific,454718,217161,237557,2629,173,2456
2002,AK,Alaska,2,West,Pacific,448637,213576,235061,2577,149,2428
2001,AK,Alaska,2,West,Pacific,440734,209967,230767,2196,123,2073
2000,AK,Alaska,2,West,Pacific,434029,207095,226934,2128,97,2031
1999,AK,Alaska,2,West,Pacific,431541,205638,225903,2325,133,2192
1998,AK,Alaska,2,West,Pacific,426484,202841,223643,2541,158,2383
1997,AK,Alaska,2,West,Pacific,423682,201316,222366,2571,156,2415
1996,AK,Alaska,2,West,Pacific,421942,199891,222051,2335,139,2196
1995,AK,Alaska,2,West,Pacific,418039,197422,220617,2042,115,1927
1994,AK,Alaska,2,West,Pacific,415063,194499,220564,1934,106,1828
1993,AK,Alaska,2,West,Pacific,411623,192021,219602,2703,122,2581
1992,AK,Alaska,2,West,Pacific,403693,187998,215695,1944,84,1860
1991,AK,Alaska,2,West,Pacific,387962,180826,207136,1840,62,1778
1990,AK,Alaska,2,West,Pacific,376499,175049,201450,1851,79,1772
1989,AK,Alaska,2,West,Pacific,375568,174598,200970,1908,94,1814
1988,AK,Alaska,2,West,Pacific,371745,173051,198694,1862,66,1796
1987,AK,Alaska,2,West,Pacific,368395,171652,196743,1767,79,1688
1986,AK,Alaska,2,West,Pacific,375494,175205,200289,1666,69,1597
1985,AK,Alaska,2,West,Pacific,369512,172830,196682,1530,54,1476
1984,AK,Alaska,2,West,Pacific,359414,167988,191426,1293,42,1251
1983,AK,Alaska,2,West,Pacific,343702,160510,183192,1072,39,1033
1982,AK,Alaska,2,West,Pacific,316614,147176,169438,872,29,843
