Complaint_ID,Tax_ID,Board_Discipline_Recommendation,Officer_is_APU,Officer_Penalty
202300465,960086,Substantiated (Command Discipline B),No,No penalty
201202321,936518,,Yes,Instructions
201901491,961712,,No,Command Discipline - A
201409498,917037,,No,Command Discipline - A
200202588,882985,,No,Retired
201205719,931162,,Yes,No penalty
202202798,964778,Substantiated (Command Discipline A),No,Command Discipline - A
202206144,966116,Substantiated (Command Discipline A),Yes,APU - Decision Pending
202107299,969156,Substantiated (Charges),Yes,
202002571,938148,Substantiated (Charges),Yes,
202208850,941282,Substantiated (Command Discipline A),No,No penalty
202400167,967774,Substantiated (Command Discipline A),No,Command Discipline - A
201807050,964532,,No,Command Discipline - A
202003620,939646,Substantiated (Command Discipline A),No,No penalty
202407223,948105,Substantiated (Command Discipline B),No,No penalty
202105330,947398,Substantiated (Command Discipline A),No,Command Discipline - A
201203271,935119,,Yes,No penalty
202107861,964092,Substantiated (Charges),Yes,Forfeit vacation 1 days
201804757,946303,,No,Instructions
202304281,962864,Substantiated (Formalized Training),No,Formalized Training
201506307,923447,,No,Formalized Training / Instructions
202306084,971586,Substantiated (Charges),Yes,Forfeit vacation 1 days
202003799,948524,Substantiated (Charges),Yes,APU - Decision Pending
201307413,936162,,Yes,Forfeit vacation 7 days
201509382,940843,,No,No penalty
202102423,949289,Substantiated (Formalized Training),No,Formalized Training
201601121,955099,,No,Formalized Training
202402234,952873,Substantiated (Command Discipline B),No,
202002387,957510,Substantiated (Command Discipline B),No,No penalty
202401639,965072,Substantiated (Charges),Yes,APU - Decision Pending
202311383,972818,Substantiated (Command Discipline A),No,Command Discipline - A (Vacation: 0.50 days)
202303222,954509,Substantiated (Charges),Yes,APU - Decision Pending
200905315,913793,,No,Vacation: 30 days
201202667,924903,,Yes,Reprimand
201608875,934466,,No,Formalized Training
202310198,970985,Substantiated (Command Discipline B),No,Command Discipline - B (Vacation: 3 days)
201302310,948912,,No,Instructions
201704607,956597,,No,Formalized Training
200404693,905296,,No,Instructions
202308559,973142,Substantiated (Charges),Yes,APU - Decision Pending
201908912,941282,,No,Formalized Training
202103114,966766,Substantiated (Charges),Yes,
