AssemblyDistrict,Borough,Zohran Kwame Mamdani (Democratic),Curtis A. Sliwa (Republican),Irene Estrada (Conservative),Zohran Kwame Mamdani (Working Families),Curtis A. Sliwa (Protect Animals),Eric L. Adams (Safe&Affordable.EndAntiSemitism),Joseph Hernandez (Quality of Life),Andrew M. Cuomo (Fight and Deliver),Jim Walden (Integrity),WRITE-IN
AD 61,New York,2611,256,8,295,21,13,5,3940,10,43
AD 65,New York,17193,1740,55,3125,164,81,34,13512,45,132
AD 66,New York,21645,1078,36,3413,154,59,20,22718,70,249
AD 67,New York,21508,1404,31,3122,158,74,31,24313,73,291
AD 68,New York,16602,1160,56,2595,108,112,27,11939,42,124
AD 69,New York,24848,1083,39,4688,159,92,24,17434,76,324
AD 70,New York,21339,756,35,4183,93,156,39,9437,42,154
AD 71,New York,20087,887,43,4745,103,114,27,9634,48,158
AD 72,New York,13740,1037,43,2763,87,75,19,9414,33,87
AD 73,New York,14571,1567,37,1677,152,65,23,34905,73,215
AD 74,New York,21280,1676,35,3570,191,67,27,18430,61,227
AD 75,New York,20340,1578,32,2922,145,88,20,18481,69,224
AD 76,New York,19245,1627,38,2695,162,60,28,30201,69,254
AD 77,Bronx,8391,581,45,773,55,99,15,6226,15,35
AD 78,Bronx,7556,850,30,835,63,94,16,6098,9,32
AD 79,Bronx,8192,633,33,680,63,100,25,6484,7,35
AD 80,Bronx,10630,2039,55,1079,112,77,12,8354,21,42
AD 81,Bronx,12679,1993,58,2175,165,81,20,13763,51,134
AD 82,Bronx,11801,4818,68,1082,265,121,22,14488,21,79
AD 83,Bronx,9360,575,35,568,41,102,11,7198,10,38
AD 84,Bronx,9017,746,44,1094,64,84,18,6701,16,43
AD 85,Bronx,8213,865,37,744,58,86,14,7222,16,44
AD 86,Bronx,6706,628,31,616,36,81,18,5951,18,30
AD 87,Bronx,11632,1026,41,1044,64,90,26,7487,22,56
AD 41,Kings,8809,3178,47,825,188,109,16,21247,23,39
AD 42,Kings,17197,611,29,3789,48,118,15,10008,34,85
AD 43,Kings,20100,526,40,5891,76,123,21,12303,22,94
AD 44,Kings,28142,1265,31,10102,159,93,18,12149,65,303
AD 45,Kings,4037,1978,23,502,177,67,11,23259,14,32
AD 46,Kings,9909,4136,34,1588,301,87,18,18015,44,59
AD 47,Kings,5789,2906,33,775,165,44,10,11220,14,16
AD 48,Kings,3150,1042,20,393,85,431,7,29003,15,138
AD 49,Kings,4725,2366,32,784,176,29,8,7922,15,26
AD 50,Kings,20994,1399,25,5574,125,227,19,12188,29,178
AD 51,Kings,12325,1249,42,4159,126,69,15,6635,18,86
AD 52,Kings,32612,970,32,9331,142,103,27,14890,114,395
AD 53,Kings,21947,983,35,6043,75,74,23,6680,24,64
AD 54,Kings,12541,765,39,2416,54,86,16,5174,5,30
AD 55,Kings,11584,385,42,1697,37,123,16,6076,15,45
AD 56,Kings,21761,525,42,6326,42,184,25,6897,23,113
AD 57,Kings,27181,542,40,8909,85,174,24,7982,41,188
AD 58,Kings,13807,441,44,920,47,123,9,8351,16,34
AD 59,Kings,11177,3152,27,753,202,96,14,14029,17,51
AD 60,Kings,11136,552,37,625,55,172,20,8080,22,45
AD 64,Kings,3141,905,11,626,62,10,6,3473,25,20
AD 23,Queens,8231,6738,55,841,348,82,24,19096,25,48
AD 24,Queens,12670,2099,37,1155,157,66,10,11985,23,43
AD 25,Queens,7483,2306,50,937,179,59,26,13485,37,41
AD 26,Queens,8955,4874,62,1023,331,70,25,20901,50,59
AD 27,Queens,6758,3264,33,866,231,71,20,16738,32,51
AD 28,Queens,12234,4361,46,2610,316,74,21,20917,43,110
AD 29,Queens,15249,756,41,895,50,146,21,9521,21,47
AD 30,Queens,11275,2355,36,1770,173,39,17,8761,30,35
AD 31,Queens,9742,997,29,648,71,84,9,6908,15,32
AD 32,Queens,12587,588,41,752,57,154,12,8807,18,42
AD 33,Queens,16108,1721,58,987,123,163,25,11621,33,55
AD 34,Queens,13238,2159,61,2977,174,58,16,9659,37,49
AD 35,Queens,7646,1363,45,871,95,80,14,9149,16,28
AD 36,Queens,20324,1891,26,5513,185,61,22,8847,51,125
AD 37,Queens,17856,3106,42,4769,250,61,19,10457,49,107
AD 38,Queens,11050,2687,45,2184,180,55,23,8328,15,31
AD 39,Queens,9810,2075,38,1955,147,51,20,8360,30,43
AD 40,Queens,5808,2265,47,691,164,69,16,9050,18,31
AD 61,Richmond,9857,3453,47,1023,179,108,15,10209,26,51
AD 62,Richmond,5279,12703,49,510,524,53,13,32062,24,60
AD 63,Richmond,9918,6958,53,992,366,119,16,20741,40,60
AD 64,Richmond,5627,7149,32,614,380,46,10,19482,25,51
