GEOID,NAME,total,owner,renter,pct_renting,pct_owner
36001,Assembly District 1 (2022); New York,52028,42838,9190,17.663565772276467,82.33643422772353
36002,Assembly District 2 (2022); New York,48424,40453,7971,16.460845861556255,83.53915413844375
36003,Assembly District 3 (2022); New York,44419,35554,8865,19.957675769377968,80.04232423062203
36004,Assembly District 4 (2022); New York,43714,34375,9339,21.36386512330146,78.63613487669853
36005,Assembly District 5 (2022); New York,44611,35347,9264,20.76617874515254,79.23382125484746
36006,Assembly District 6 (2022); New York,33601,26887,6714,19.98154816820928,80.01845183179071
36007,Assembly District 7 (2022); New York,46991,36195,10796,22.974612159775276,77.02538784022472
36008,Assembly District 8 (2022); New York,45012,39632,5380,11.952368257353594,88.0476317426464
36009,Assembly District 9 (2022); New York,42799,37448,5351,12.502628566087992,87.49737143391201
36010,Assembly District 10 (2022); New York,43992,38037,5955,13.536552100381888,86.46344789961812
36011,Assembly District 11 (2022); New York,42341,32362,9979,23.568172693134315,76.43182730686569
36012,Assembly District 12 (2022); New York,43610,38851,4759,10.912634716808071,89.08736528319193
36013,Assembly District 13 (2022); New York,41890,31326,10564,25.218429219384102,74.7815707806159
36014,Assembly District 14 (2022); New York,43773,41194,2579,5.891759760583008,94.10824023941699
36015,Assembly District 15 (2022); New York,45428,39243,6185,13.614951131460773,86.38504886853923
36016,Assembly District 16 (2022); New York,47215,38195,9020,19.104098273853648,80.89590172614635
36017,Assembly District 17 (2022); New York,42725,39524,3201,7.492100643651258,92.50789935634874
36018,Assembly District 18 (2022); New York,37338,22947,14391,38.542503615619474,61.457496384380526
36019,Assembly District 19 (2022); New York,45717,37913,7804,17.0702364547105,82.9297635452895
36020,Assembly District 20 (2022); New York,45811,34174,11637,25.40219597913165,74.59780402086835
36021,Assembly District 21 (2022); New York,48071,38111,9960,20.719352624243307,79.28064737575669
36022,Assembly District 22 (2022); New York,38846,32690,6156,15.84719147402564,84.15280852597436
36023,Assembly District 23 (2022); New York,50931,27155,23776,46.682766880681704,53.317233119318296
36024,Assembly District 24 (2022); New York,43955,25282,18673,42.4820839494938,57.5179160505062
36025,Assembly District 25 (2022); New York,42794,23405,19389,45.30775342337711,54.69224657662289
36026,Assembly District 26 (2022); New York,50369,35112,15257,30.29045643153527,69.70954356846472
36027,Assembly District 27 (2022); New York,44352,22448,21904,49.38672438672439,50.61327561327561
36028,Assembly District 28 (2022); New York,58647,29125,29522,50.338465735672756,49.661534264327244
36029,Assembly District 29 (2022); New York,42422,24268,18154,42.79383338833624,57.20616661166376
